"ID","Use","Born_Month","Gender","Hand_Span","PostCode","StateSecondary16","StateSecondary18","UniTravelMode","Height","GymHours","SocialMediaHours","SleepHours","Piercings","Visual","Job","Handed","Diet","Random1_20","BloodDonor","DrivingLicense","ShoeSize","AlevelGeog","GeogExamBoard","Start","End","Year"
"677627-677618-72435633","Yes","July","Female",140,"BR3 1JQ","Yes","Yes","On foot",164,5,3.25,7,5,"neither","Yes","left-handed?","meat eater (occasional or not)?",11,"No","Yes",5.5,"Did not study Geography","Did not study geography in the UK post-16","2021-02-14 13:23:19 UTC","2021-02-14 13:31:21 UTC",2020
"552489-552480-54402197","Yes","October","Female",157,"Cm2 6GB","Yes","Yes","Bus",158,3,1.25,8.5,5,"eyeglasses","No","right-handed?","vegetarian?",15,"Yes","Yes",5,"International Baccalaureate","Other","2020-01-28 12:41:21 UTC","2020-01-28 12:56:59 UTC",2019
"552489-552480-54405293","Yes","October","Female",190,"PL8 2HR","Yes","Yes","On foot",168,2,2.5,8,4,"neither","No","right-handed?","meat eater (occasional or not)?",7,"No","Yes",7,"A-level","Pearson Edexcel","2020-01-28 13:23:14 UTC","2020-01-28 13:27:55 UTC",2019
"552489-552480-54405503","Yes","June","Female",172,"Cm2 0jp","Yes","Yes","Train",168,2,2.71666666666667,6.33333333333333,6,"contact lenses","Yes","right-handed?","meat eater (occasional or not)?",4,"No","Yes",6,"A-level","WJEC (Welsh Joint Examinations Committee)","2020-01-28 13:26:30 UTC","2020-01-28 13:33:41 UTC",2019
"552489-552480-54405999","Yes","June","Female",180,"CV5 6FF","Yes","No","On foot",172,6,3,8,6,"neither","Yes","left-handed?","vegan?",18,"No","No",5.5,"A-level","Other","2020-01-28 13:32:28 UTC","2020-01-28 13:35:09 UTC",2019
"552489-552480-54405505","Yes","June","Male",208,"N16 7ET","Yes","Yes","On foot",180,4.5,2.5,7.5,1,"contact lenses","Yes","right-handed?","meat eater (occasional or not)?",8,"No","No",11,"A-level","Pearson Edexcel","2020-01-28 13:26:37 UTC","2020-01-28 13:38:57 UTC",2019
"552489-552480-54406177","Yes","April","Male",156,"SG4 0EL","Yes","Yes","On foot",172,2,3,8.16666666666667,0,"neither","Yes","right-handed?","meat eater (occasional or not)?",2,"No","Yes",6.5,"A-level","AQA (Assessment and Qualifications Alliance)","2020-01-28 13:34:17 UTC","2020-01-28 13:39:19 UTC",2019
"552489-552480-54407326","Yes","September","Female",160,"NW2 4HA","No","No","On foot",177,4,2,6,2,"neither","No","left-handed?","meat eater (occasional or not)?",9,"No","Yes",8,"A-level","Pearson Edexcel","2020-01-28 13:50:57 UTC","2020-01-28 13:54:50 UTC",2019
"552489-552480-54406012","Yes","September","Female",160,"","No","No","On foot",165,2,5.86666666666667,8.5,1,"neither","No","right-handed?","meat eater (occasional or not)?",7,"No","No",6,"A-level","Other","2020-01-28 13:32:30 UTC","2020-01-28 13:59:16 UTC",2019
"552489-552480-54407500","Yes","January","Female",150,"BR2 7LG","Yes","Yes","On foot",160,3,1,5,2,"neither","No","right-handed?","meat eater (occasional or not)?",11,"Yes","Yes",4,"A-level","Pearson Edexcel","2020-01-28 13:53:42 UTC","2020-01-28 14:03:32 UTC",2019
"552489-552480-54407908","Yes","March","Female",90,"EC2Y 8AF","Yes","No","Bus",168,6,2.23333333333333,10,5,"neither","No","right-handed?","meat eater (occasional or not)?",15,"No","No",8,"Did not study Geography","Did not study geography in the UK post-16","2020-01-28 13:59:34 UTC","2020-01-28 14:04:59 UTC",2019
"552489-552480-54410356","Yes","April","Female",180,"cb11 4ab","Yes","Yes","Bus",175,5,1.53333333333333,9,1,"neither","Yes","right-handed?","vegetarian?",2,"No","No",6,"A-level","AQA (Assessment and Qualifications Alliance)","2020-01-28 14:30:40 UTC","2020-01-28 14:34:20 UTC",2019
"552489-552480-54411589","Yes","November","Female",127,"TN22 5UL","Yes","Yes","On foot",165,2,0.833333333333333,7,2,"neither","No","right-handed?","vegetarian?",2,"Yes","No",6,"A-level","Pearson Edexcel","2020-01-28 14:46:58 UTC","2020-01-28 14:49:51 UTC",2019
"552489-552480-54412158","Yes","October","Male",200,"","Yes","Yes","On foot",180,2,1,7,0,"eyeglasses","Yes","right-handed?","meat eater (occasional or not)?",1,"No","Yes",9,"A-level","AQA (Assessment and Qualifications Alliance)","2020-01-28 14:55:14 UTC","2020-01-28 14:59:08 UTC",2019
"552489-552480-54410428","Yes","December","Female",150,"SW6 5NA","Yes","Yes","Train",164,3,3,8,3,"neither","No","right-handed?","meat eater (occasional or not)?",5,"No","No",7,"A-level","Pearson Edexcel","2020-01-28 14:31:39 UTC","2020-01-28 15:05:12 UTC",2019
"552489-552480-54411826","Yes","January","Female",170,"NW5 4NE","Yes","Yes","Train",174,3,1.16666666666667,9,2,"neither","Yes","right-handed?","vegetarian?",17,"No","No",6,"A-level","Pearson Edexcel","2020-01-28 14:50:59 UTC","2020-01-28 15:05:59 UTC",2019
"552489-552480-54413916","Yes","September","Female",156,"SN13 8QB","No","No","On foot",179,2,2.5,8.5,2,"neither","Yes","right-handed?","meat eater (occasional or not)?",12,"Yes","No",8,"A-level","OCR (Oxford, Cambridge and RSA Exams)","2020-01-28 15:19:57 UTC","2020-01-28 15:23:45 UTC",2019
"552489-552480-54409847","Yes","December","Female",185,"GU34 4AN","No","Yes","On foot",164,2,2.15,7.5,7,"contact lenses","Yes","right-handed?","meat eater (occasional or not)?",7,"Yes","Yes",4.5,"A-level","AQA (Assessment and Qualifications Alliance)","2020-01-28 14:24:27 UTC","2020-01-28 15:26:40 UTC",2019
"552489-552480-54414354","Yes","December","Female",200,"mk45 2qs","Yes","Yes","On foot",175,2,4,6,3,"neither","No","right-handed?","meat eater (occasional or not)?",14,"No","Yes",7,"A-level","AQA (Assessment and Qualifications Alliance)","2020-01-28 15:26:36 UTC","2020-01-28 15:30:47 UTC",2019
"552489-552480-54416613","Yes","November","Male",210,"AL4 0EH","Yes","Yes","On foot",181,2,4,8,0,"neither","Yes","right-handed?","meat eater (occasional or not)?",4,"No","Yes",9,"A-level","Pearson Edexcel","2020-01-28 15:57:46 UTC","2020-01-28 16:01:57 UTC",2019
"552489-552480-54417440","Yes","October","Female",140,"BS7 8HN","Yes","Yes","Bus",165,0,4.5,8,12,"neither","No","right-handed?","vegan?",5,"No","No",5.5,"A-level","Pearson Edexcel","2020-01-28 16:09:33 UTC","2020-01-28 16:12:51 UTC",2019
"552489-552480-54419775","Yes","April","Female",150,"N6 5EZ","Yes","Yes","On foot",162,5,2,7.75,5,"eyeglasses","Yes","right-handed?","meat eater (occasional or not)?",3,"No","No",5,"A-level","Other","2020-01-28 16:41:04 UTC","2020-01-28 16:44:51 UTC",2019
"552489-552480-54419451","Yes","April","Female",190,"SK9 1PX","No","No","On foot",165,7,2.5,6.11666666666667,4,"contact lenses","No","right-handed?","vegetarian?",11,"No","Yes",5.5,"A-level","AQA (Assessment and Qualifications Alliance)","2020-01-28 16:36:35 UTC","2020-01-28 16:59:15 UTC",2019
"552489-552480-54421623","Yes","July","Male",230,"","No","No","Private car as a passenger",172,1,1.5,9,3,"eyeglasses","No","right-handed?","meat eater (occasional or not)?",8,"No","Yes",8.5,"A-level","Other","2020-01-28 17:08:21 UTC","2020-01-28 17:15:35 UTC",2019
"552489-552480-54425164","Yes","April","Male",170,"BT34 5EP","Yes","Yes","On foot",172,0,3.66666666666667,6.5,0,"neither","No","right-handed?","meat eater (occasional or not)?",17,"No","Yes",8.5,"A-level","CCEA (Council for the Curriculum, Examinations and Assessment)","2020-01-28 18:12:40 UTC","2020-01-28 18:19:33 UTC",2019
"552489-552480-54428829","Yes","October","Female",140,"GU5 0DR","No","No","Other",165,0,1,6,2,"neither","Yes","right-handed?","meat eater (occasional or not)?",8,"No","Yes",5,"A-level","Pearson Edexcel","2020-01-28 19:20:42 UTC","2020-01-28 19:24:36 UTC",2019
"552489-552480-54429127","Yes","August","Female",185,"LE12 8XU","Yes","Yes","Bus",168,3,1.1,8,1,"neither","No","left-handed?","meat eater (occasional or not)?",7,"No","Yes",6,"A-level","Pearson Edexcel","2020-01-28 19:25:37 UTC","2020-01-28 19:30:31 UTC",2019
"552489-552480-54429824","Yes","June","Female",190,"PR2 6XX","Yes","Yes","On foot",172,2,3.5,6,2,"neither","No","left-handed?","vegan?",13,"No","Yes",7,"A-level","AQA (Assessment and Qualifications Alliance)","2020-01-28 19:39:18 UTC","2020-01-28 19:45:36 UTC",2019
"552489-552480-54430309","Yes","November","Male",140,"DA14 4JR","Yes","Yes","On foot",178,10,0.633333333333333,8.25,0,"neither","No","right-handed?","meat eater (occasional or not)?",6,"No","No",7,"International Baccalaureate","Other","2020-01-28 19:49:47 UTC","2020-01-28 19:55:09 UTC",2019
"552489-552480-54430817","Yes","December","Female",150,"AL4 0UW","Yes","Yes","On foot",179,3,3,6.25,9,"neither","No","left-handed?","meat eater (occasional or not)?",12,"No","No",8,"A-level","Pearson Edexcel","2020-01-28 20:02:14 UTC","2020-01-28 20:08:56 UTC",2019
"552489-552480-54430921","Yes","October","Female",215,"SE9 4RW","Yes","No","On foot",169,7.25,3.33333333333333,9.5,4,"contact lenses","Yes","right-handed?","meat eater (occasional or not)?",11,"No","Yes",6,"A-level","Other","2020-01-28 20:05:21 UTC","2020-01-28 20:12:04 UTC",2019
"552489-552480-54439003","Yes","December","Male",205,"N12 9HS","No","No","On foot",186,5,2,7,0,"neither","Yes","right-handed?","meat eater (occasional or not)?",18,"No","No",11,"A-level","AQA (Assessment and Qualifications Alliance)","2020-01-28 23:12:20 UTC","2020-01-28 23:15:53 UTC",2019
"552489-552480-54452473","Yes","April","Male",170,"BL0 9LP","Yes","No","On foot",186,1.5,3,7.5,0,"neither","Yes","left-handed?","meat eater (occasional or not)?",17,"No","No",10,"A-level","WJEC (Welsh Joint Examinations Committee)","2020-01-29 10:34:54 UTC","2020-01-29 10:37:39 UTC",2019
"552489-552480-54454835","Yes","June","Female",190,"NW10 3PY","Yes","Yes","On foot",179,4.0636,3,6.75,7,"eyeglasses","Yes","right-handed?","pescatarian?",19,"No","Yes",8.5,"A-level","AQA (Assessment and Qualifications Alliance)","2020-01-29 11:12:27 UTC","2020-01-29 11:22:43 UTC",2019
