"ID","Use","Born_Month","Gender","Hand_Span","PostCode","StateSecondary16","StateSecondary18","UniTravelMode","Height","GymHours","SocialMediaHours","SleepHours","Piercings","Visual","Job","Handed","Diet","Random1_20","BloodDonor","DrivingLicense","ShoeSize","AlevelGeog","GeogExamBoard","Start","End","Year"
"552489-552480-55070342","Yes","November","Male",248,"MK3 5PL","Yes","No","On foot",171.711811023622,4.36666666666667,1.5,3.33333333333333,0,"neither","Yes","right-handed?","meat eater (occasional or not)?",11,"No","No",13,"A-level","Other","2020-02-10 17:34:14 UTC","2020-02-10 17:38:45 UTC",2019
"552489-552480-55071384","Yes","November","Female",180,"AL7 4JZ","Yes","Yes","Private car as a passenger",151,7,2,4,1,"neither","Yes","right-handed?","meat eater (occasional or not)?",7,"No","No",4,"A-level","AQA (Assessment and Qualifications Alliance)","2020-02-10 17:52:19 UTC","2020-02-10 17:55:18 UTC",2019
"552489-552480-55072125","Yes","May","Female",190,"M35 9YA","No","No","Train",170,2.5,2.66666666666667,9,2,"neither","No","right-handed?","vegan?",6,"No","Yes",6,"A-level","Pearson Edexcel","2020-02-10 18:02:33 UTC","2020-02-10 18:15:00 UTC",2019
"552489-552480-55075791","Yes","April","Female",160,"1297 - Switzerland","No","No","On foot",165,4,2.33333333333333,8,2,"contact lenses","Yes","right-handed?","meat eater (occasional or not)?",14,"Yes","No",6.5,"International Baccalaureate","Other","2020-02-10 19:03:08 UTC","2020-02-10 19:07:32 UTC",2019
"552489-552480-55078779","Yes","January","Male",220,"B30 2ES","Yes","Yes","On foot",178,7,3.5,7,0,"neither","No","right-handed?","meat eater (occasional or not)?",8,"No","No",10.5,"A-level","Pearson Edexcel","2020-02-10 19:57:39 UTC","2020-02-10 20:13:37 UTC",2019
"552489-552480-55079664","Yes","May","Female",220,"LS2 9BD","No","Yes","On foot",168,2,1,8,1,"neither","No","right-handed?","vegetarian?",7,"No","No",6,"Did not study Geography","Did not study geography in the UK post-16","2020-02-10 20:14:05 UTC","2020-02-10 20:30:44 UTC",2019
"552489-552480-55080598","Yes","February","Female",190,"bn7 2be","Yes","Yes","On foot",160,3,2.71666666666667,7.5,5,"eyeglasses","Yes","right-handed?","vegetarian?",9,"No","Yes",5,"A-level","Pearson Edexcel","2020-02-10 20:29:53 UTC","2020-02-10 20:35:40 UTC",2019
"552489-552480-55080768","Yes","October","Female",165,"LE16 7LQ","Yes","Yes","On foot",157.48,3,5,10,0,"neither","No","right-handed?","meat eater (occasional or not)?",13,"No","Yes",5,"A-level","Pearson Edexcel","2020-02-10 20:32:46 UTC","2020-02-10 20:36:31 UTC",2019
"552489-552480-55081577","Yes","March","Male",205,"S11 9FX","Yes","Yes","Train",182,3,5,7,0,"neither","No","right-handed?","meat eater (occasional or not)?",8,"No","Yes",8,"A-level","AQA (Assessment and Qualifications Alliance)","2020-02-10 20:46:10 UTC","2020-02-10 20:51:02 UTC",2019
"552489-552480-55082157","Yes","March","Male",100,"CB1 2EX","Yes","Yes","On foot",186,4,2,8,0,"neither","Yes","right-handed?","meat eater (occasional or not)?",15,"No","No",11,"A-level","OCR (Oxford, Cambridge and RSA Exams)","2020-02-10 20:57:41 UTC","2020-02-10 21:04:15 UTC",2019
"552489-552480-55109946","Yes","October","Female",120,"BH3 7DG","Yes","Yes","Train",172,2.5,2.38333333333333,7.5,2,"eyeglasses","No","right-handed?","meat eater (occasional or not)?",6,"No","No",7,"A-level","Pearson Edexcel","2020-02-11 11:38:24 UTC","2020-02-11 11:45:05 UTC",2019
"552489-552480-55156853","Yes","February","Female",165,"NG5 8LZ","Yes","Yes","On foot",165,2,3,7.91666666666667,3,"eyeglasses","Yes","right-handed?","meat eater (occasional or not)?",12,"No","No",7,"A-level","Pearson Edexcel","2020-02-11 23:17:49 UTC","2020-02-11 23:20:40 UTC",2019
"552489-552480-55194614","Yes","November","Male",180,"GU7 2PN","No","No","On foot",184,1,1.56666666666667,9,0,"neither","No","right-handed?","pescatarian?",11,"No","Yes",9.5,"A-level","Pearson Edexcel","2020-02-12 15:28:07 UTC","2020-02-12 15:32:26 UTC",2019
"552489-552480-55220281","Yes","August","Female",200,"GU5 0EF","No","No","Train",160,10,1.53333333333333,5,8,"neither","Yes","right-handed?","pescatarian?",14,"No","No",5,"A-level","Pearson Edexcel","2020-02-13 00:55:11 UTC","2020-02-13 00:59:23 UTC",2019
"552489-552480-55273157","Yes","May","Male",170,"BA2 6QP","Yes","Yes","On foot",170,5,2,7,0,"neither","No","right-handed?","meat eater (occasional or not)?",12,"Yes","Yes",10,"A-level","Pearson Edexcel","2020-02-13 17:50:34 UTC","2020-02-13 17:54:06 UTC",2019
"552489-552480-55280405","Yes","May","Male",206,"HD5 8RA","Yes","Yes","Train",178,0,2.5,6,0,"contact lenses","No","right-handed?","meat eater (occasional or not)?",16,"Yes","No",10,"A-level","Pearson Edexcel","2020-02-13 20:14:48 UTC","2020-02-13 20:19:44 UTC",2019
"552489-552480-55304786","Yes","March","Female",150,"IP12 4HA","Yes","Yes","Train",170,6,6,7,6,"neither","No","right-handed?","meat eater (occasional or not)?",12,"Yes","No",7,"A-level","OCR (Oxford, Cambridge and RSA Exams)","2020-02-14 11:15:07 UTC","2020-02-14 11:18:01 UTC",2019
"552489-552480-55373337","Yes","August","Male",180,"w4 2ns","No","No","On foot",180,1,1,7,0,"neither","No","right-handed?","meat eater (occasional or not)?",18,"No","No",10,"A-level","AQA (Assessment and Qualifications Alliance)","2020-02-16 13:58:49 UTC","2020-02-16 14:02:57 UTC",2019
"552489-552480-55378413","Yes","February","Male",104,"","Yes","Yes","On foot",176,7,4.5,11,0,"neither","No","right-handed?","meat eater (occasional or not)?",16,"No","Yes",10,"A-level","Pearson Edexcel","2020-02-16 17:13:22 UTC","2020-02-16 17:18:31 UTC",2019
